Employee ID,Age,Gender,Education Level,Department,Job Title,Years of Experience,Salary,Performance Rating,Work Mode
EMP-1307,27,Male,Bachelor's,Engineering,Software Engineer,3.3,77659.28,3,Remote
EMP-1308,49,Female,Master's,Executive,Director,10.4,164326.47,1,On-site
EMP-1309,41,Female,High School,Sales,Sales Associate,21.5,142905.5,4,On-site
EMP-1310,32,Female,Master's,Engineering,Tech Lead,4.5,118211.92,4,Remote
EMP-1311,21,Non-binary,Bachelor's,Finance,Finance Manager,0.0,82987.67,3,Hybrid
EMP-1312,27,Female,Master's,Sales,Sales Representative,0.6,73982.8,3,Remote
EMP-1313,32,Male,Bachelor's,HR,HR Manager,1.9,88214.74,2,Hybrid
EMP-1314,44,Female,Bachelor's,Data Science,Data Science Manager,18.2,183519.82,3,Hybrid
EMP-1315,27,Male,Master's,Data Science,Data Scientist,,78728.55,1,On-site
EMP-1316,37,Male,Bachelor's,Sales,Sales Representative,14.3,116612.58,3,Remote
EMP-1317,41,Female,High School,Data Science,Data Analyst,15.4,133342.59,2,Hybrid
EMP-1318,37,Male,Master's,HR,HR Manager,1.5,101356.35,4,On-site
EMP-1319,42,Male,Bachelor's,Data Science,Data Science Manager,3.1,111706.25,3,Hybrid
EMP-1320,44,Female,Bachelor's,Sales,Sales Manager,17.6,161099.13,4,On-site
EMP-1321,45,Female,Master's,Engineering,Engineering Manager,11.1,160260.7,3,Hybrid
EMP-1322,31,Female,Bachelor's,Finance,Finance Manager,1.8,96319.05,4,Hybrid
EMP-1323,23,Male,Master's,Sales,Sales Associate,0.0,65913.69,3,Hybrid
EMP-1324,46,Female,Bachelor's,Sales,Sales Associate,10.9,98102.9,2,Hybrid
EMP-1325,21,Male,High School,Sales,Sales Manager,2.4,67536.72,2,Hybrid
EMP-1326,22,Male,Master's,Data Science,Data Analyst,0.0,87714.8,3,Remote
EMP-1327,42,Male,High School,Engineering,Engineering Manager,0.8,85073.73,2,Hybrid
EMP-1328,37,Female,Master's,Sales,Sales Representative,12.9,130200.39,2,Hybrid
EMP-1329,46,Female,PhD,Finance,Financial Analyst,12.4,140241.32,3,Remote
EMP-1330,40,Male,Bachelor's,Finance,Financial Analyst,13.1,108536.94,1,Remote
EMP-1331,31,Male,High School,HR,HR Specialist,8.8,77273.4,2,Hybrid
EMP-1332,55,Female,Master's,HR,HR Associate,8.5,97272.93,3,On-site
EMP-1333,43,Female,Bachelor's,Sales,Sales Manager,16.1,159167.8,4,On-site
EMP-1334,38,Male,Bachelor's,Engineering,Software Engineer,7.1,99009.34,2,Hybrid
EMP-1335,41,Female,Bachelor's,Executive,Vice President,4.5,140711.03,3,Remote
EMP-1336,48,Female,High School,HR,HR Associate,24.5,152804.36,2,Hybrid
EMP-1337,39,Male,Bachelor's,HR,HR Associate,5.1,73284.87,4,Remote
EMP-1338,55,Female,Bachelor's,Engineering,Senior Engineer,20.7,151031.49,3,Hybrid
EMP-1339,33,Female,PhD,Sales,Sales Manager,1.9,117525.0,2,Hybrid
EMP-1340,43,Male,Bachelor's,Sales,Sales Associate,17.8,129613.87,2,Remote
EMP-1341,59,Female,Master's,Finance,Senior Finance Analyst,33.9,220997.94,4,Hybrid
EMP-1342,38,Male,Bachelor's,Data Science,Senior Data Scientist,10.3,117941.11,3,On-site
EMP-1343,27,Female,High School,Data Science,Data Analyst,2.4,60068.5,2,Hybrid
EMP-1344,41,Female,Master's,Finance,Finance Manager,11.4,142980.88,3,Remote
EMP-1345,53,Male,PhD,Engineering,Senior Engineer,24.4,185693.75,2,On-site
EMP-1346,40,Male,PhD,Sales,Sales Associate,9.0,135903.57,4,Hybrid
EMP-1347,33,Male,Bachelor's,HR,HR Specialist,4.2,73408.95,4,Hybrid
EMP-1348,36,Male,Bachelor's,Finance,Senior Finance Analyst,6.5,92213.94,3,On-site
EMP-1349,22,Female,Master's,HR,HR Associate,0.0,76280.55,4,Hybrid
EMP-1350,31,Male,Bachelor's,Data Science,Data Scientist,0.1,74384.18,3,Hybrid
EMP-1351,40,Female,Master's,HR,HR Associate,3.1,70990.26,2,Remote
EMP-1352,37,Female,Bachelor's,Finance,Finance Manager,14.2,151901.6,4,Remote
EMP-1353,34,Female,Bachelor's,Sales,Sales Representative,2.0,49308.74,3,Hybrid
EMP-1354,49,Male,Master's,Finance,Finance Manager,23.9,190205.35,1,Hybrid
EMP-1355,26,Female,High School,Engineering,Software Engineer,3.3,77824.96,2,On-site
EMP-1356,33,Male,Master's,Engineering,Senior Engineer,4.6,99038.48,3,Hybrid
EMP-1357,42,Female,Master's,Sales,Sales Manager,8.8,124262.05,3,Remote
EMP-1358,47,Female,High School,HR,HR Manager,28.3,176520.51,2,Remote
EMP-1359,33,Female,Master's,Data Science,Data Analyst,,125961.33,4,Hybrid
EMP-1360,34,Male,Bachelor's,HR,HR Specialist,3.2,61510.19,2,Hybrid
EMP-1361,58,Male,Bachelor's,Data Science,Senior Data Scientist,24.6,176900.25,3,On-site
EMP-1362,48,Female,Master's,Engineering,Engineering Manager,9.1,141665.75,3,Hybrid
EMP-1363,36,Male,High School,Data Science,Data Analyst,9.0,100576.67,3,Hybrid
EMP-1364,45,Female,Bachelor's,Engineering,Software Engineer,5.3,94655.84,3,On-site
EMP-1365,37,Female,Bachelor's,HR,HR Associate,13.9,99390.8,3,Hybrid
EMP-1366,47,Male,Bachelor's,Data Science,Senior Data Scientist,0.4,78668.06,3,Remote
EMP-1367,21,Male,Master's,Sales,Sales Associate,0.0,72162.46,4,Remote
EMP-1368,49,Female,Bachelor's,Finance,Senior Finance Analyst,10.4,105356.64,2,Hybrid
EMP-1369,27,Female,Master's,Engineering,Tech Lead,0.2,114324.19,2,Hybrid
EMP-1370,36,Female,Bachelor's,Finance,Finance Manager,5.6,114740.41,3,Hybrid
EMP-1371,42,Male,Bachelor's,Sales,Sales Associate,7.1,90009.77,3,On-site
EMP-1372,62,Male,Master's,Engineering,Tech Lead,30.3,233466.59,3,Hybrid
EMP-1373,48,Male,Bachelor's,Data Science,Data Science Manager,8.2,140562.18,4,Remote
EMP-1374,44,Male,Bachelor's,HR,HR Associate,2.9,71980.59,2,Remote
EMP-1375,26,Male,Bachelor's,Sales,Sales Associate,0.1,53894.34,3,Hybrid
EMP-1376,37,Male,Bachelor's,HR,HR Specialist,0.2,55768.14,3,Hybrid
EMP-1377,42,Female,Master's,Data Science,Data Scientist,12.3,140381.21,4,Remote
EMP-1378,35,Male,Bachelor's,Data Science,Data Analyst,2.2,87376.82,3,Remote
EMP-1379,25,Male,Master's,HR,HR Specialist,0.9,72987.04,3,Hybrid
EMP-1380,35,Female,Bachelor's,Sales,Sales Associate,1.8,67659.67,4,Remote
EMP-1381,39,Male,Master's,Sales,Sales Representative,6.6,97813.47,3,Hybrid
EMP-1382,27,Female,Master's,Finance,Financial Analyst,0.9,83347.03,2,Hybrid
EMP-1383,29,Female,Bachelor's,Data Science,Data Science Manager,6.8,108639.66,2,Remote
EMP-1384,31,Female,Bachelor's,Finance,Financial Analyst,2.9,80032.09,2,Remote
EMP-1385,48,Female,Bachelor's,Data Science,Data Scientist,17.7,155854.61,2,Hybrid
EMP-1386,47,Female,Bachelor's,Sales,Sales Representative,20.8,127363.57,2,Remote
EMP-1387,60,Female,Master's,Data Science,Senior Data Scientist,8.7,106667.61,2,Hybrid
EMP-1388,48,Female,Master's,Executive,Vice President,14.0,203105.64,5,Hybrid
EMP-1389,43,Female,Master's,Engineering,Tech Lead,13.3,165980.49,3,On-site
EMP-1390,45,Female,PhD,Executive,Director,11.8,950000.0,3,Hybrid
EMP-1391,37,Female,High School,Sales,Sales Representative,18.3,122175.95,2,Hybrid
EMP-1392,21,Male,Bachelor's,Finance,Finance Manager,0.0,80068.45,3,Hybrid
EMP-1393,26,Female,Bachelor's,Sales,Sales Representative,1.6,73072.01,3,Hybrid
EMP-1394,47,Female,Bachelor's,Engineering,Engineering Manager,2.6,91982.23,1,Hybrid
EMP-1395,47,Non-binary,Bachelor's,Data Science,Senior Data Scientist,7.8,99412.2,2,Hybrid
EMP-1396,43,Male,Bachelor's,Sales,Sales Manager,14.6,141952.25,2,Remote
EMP-1397,24,Male,Master's,Engineering,Software Engineer,0.0,78918.69,2,On-site
EMP-1398,22,Female,Master's,Data Science,Data Scientist,0.0,82882.17,3,Hybrid
EMP-1399,43,Female,Bachelor's,Sales,Sales Associate,16.8,136744.84,3,Hybrid
EMP-1400,39,Male,Master's,Sales,Sales Associate,11.1,114353.79,2,On-site
EMP-1401,43,Male,Bachelor's,Executive,Director,4.3,136303.55,3,Hybrid
EMP-1402,30,Female,High School,Engineering,Senior Engineer,4.4,67064.37,2,Remote
EMP-1403,55,Male,Master's,HR,HR Manager,12.0,133242.57,2,Hybrid
EMP-1404,30,Male,Bachelor's,Sales,Sales Manager,1.4,87110.3,3,Hybrid
EMP-1405,50,Female,PhD,Data Science,Senior Data Scientist,2.7,108013.96,2,Remote
EMP-1406,29,Male,Master's,Finance,Senior Finance Analyst,2.1,77694.41,4,Remote
EMP-1407,41,Male,Bachelor's,Data Science,Data Scientist,9.3,112542.79,3,Remote
EMP-1408,36,Male,Bachelor's,Engineering,Tech Lead,13.3,149122.87,3,Hybrid
EMP-1409,36,Male,Bachelor's,Finance,Finance Manager,9.1,137483.14,3,Hybrid
EMP-1410,32,Female,Master's,Sales,Sales Representative,1.3,71930.31,2,Hybrid
EMP-1411,63,Female,Bachelor's,Executive,Director,22.0,217234.7,2,Remote
EMP-1412,54,Male,Master's,Finance,Finance Manager,3.4,112693.9,2,Remote
EMP-1413,54,Female,Master's,Engineering,Engineering Manager,16.4,169658.52,2,On-site
EMP-1414,32,Male,Master's,Data Science,Senior Data Scientist,7.0,105504.33,2,Remote
EMP-1415,25,Male,Master's,Engineering,Engineering Manager,0.9,104160.16,3,Remote
EMP-1416,40,Female,Bachelor's,Finance,Finance Manager,6.3,108445.28,1,Hybrid
EMP-1417,46,Female,Bachelor's,Executive,Director,19.5,196144.34,1,On-site
EMP-1418,50,Female,Bachelor's,Data Science,Senior Data Scientist,27.4,193115.43,2,Remote
EMP-1419,42,Female,PhD,Engineering,Senior Engineer,14.4,152145.39,2,Hybrid
EMP-1420,43,Female,PhD,Data Science,Data Scientist,4.0,118032.54,3,Hybrid
EMP-1421,28,Female,Master's,Sales,Sales Representative,0.6,64037.71,3,Hybrid
EMP-1422,36,Female,Bachelor's,Engineering,Software Engineer,5.6,84106.82,2,Hybrid
EMP-1423,50,Female,Master's,Sales,Sales Representative,15.1,140074.83,4,On-site
EMP-1424,27,Female,High School,sales,Sales Manager,6.0,104478.59,2,Hybrid
EMP-1425,39,Male,Bachelor's,   Data Science  ,Data Science Manager,14.0,163159.91,5,Hybrid
EMP-1426,39,Male,Bachelor's,Finance,Finance Manager,2.2,93041.25,2,On-site
EMP-1427,36,Female,Master's,Engineering,Software Engineer,1.2,90780.21,3,Hybrid
EMP-1428,30,Male,Bachelor's,Data Science,Data Science Manager,3.7,97522.77,2,On-site
EMP-1429,43,Male,PhD,HR,HR Associate,14.0,122882.66,2,On-site
EMP-1430,41,Male,Bachelor's,Executive,Director,1.0,128163.57,5,Hybrid
EMP-1431,46,Female,Master's,Engineering,Software Engineer,0.0,79406.66,3,Hybrid
EMP-1432,47,Male,Bachelor's,Engineering,Software Engineer,17.4,139684.35,2,On-site
EMP-1433,41,Non-binary,Bachelor's,Executive,Director,4.3,139012.25,2,Remote
EMP-1434,36,Female,Bachelor's,hr,HR Specialist,1.9,61199.06,2,Hybrid
EMP-1435,29,Female,Bachelor's,Data Science,Data Analyst,3.7,86485.29,3,Remote
EMP-1436,48,Female,Bachelor's,Data Science,Data Science Manager,16.0,163049.84,3,Hybrid
EMP-1437,46,Male,Master's,Executive,Director,13.0,190946.86,4,Hybrid
EMP-1438,38,Non-binary,Bachelor's,Data Science,Data Scientist,4.4,80089.32,2,Remote
EMP-1439,34,Female,Bachelor's,Finance,Senior Finance Analyst,9.3,95938.17,2,Hybrid
EMP-1440,38,Female,Master's,HR,HR Associate,7.2,94817.01,3,Hybrid
EMP-1441,42,Female,Bachelor's,Executive,Director,9.9,147727.2,3,Remote
EMP-1442,28,Female,Bachelor's,Finance,Financial Analyst,5.9,78521.83,3,On-site
EMP-1443,43,Male,Master's,HR,HR Manager,13.0,154912.57,4,Hybrid
EMP-1444,35,Female,Master's,Engineering,Software Engineer,0.2,84732.0,4,Remote
EMP-1445,34,Female,PhD,Sales,Sales Manager,2.0,113585.18,2,Hybrid
EMP-1446,34,Female,Bachelor's,Sales,Sales Associate,7.7,91303.44,3,Hybrid
EMP-1447,38,Male,High School,Engineering,Senior Engineer,19.5,149043.88,3,Remote
EMP-1448,47,Male,Bachelor's,Engineering,Tech Lead,17.5,148176.47,2,Hybrid
EMP-1449,47,Female,High School,Executive,Vice President,3.4,119931.41,2,Hybrid
EMP-1450,26,Male,Master's,Data Science,Data Analyst,0.0,80248.78,1,Remote
EMP-1451,45,Male,Bachelor's,Finance,Finance Manager,6.0,92653.75,2,Hybrid
EMP-1452,32,Female,Master's,Engineering,Software Engineer,2.7,82466.53,3,Hybrid
EMP-1453,39,Female,Bachelor's,finance,Finance Manager,1.3,94935.75,3,Hybrid
EMP-1454,39,Male,Bachelor's,Finance,Financial Analyst,,91639.43,2,Remote
EMP-1455,36,Male,Bachelor's,Engineering,Senior Engineer,10.4,106080.39,3,Remote
EMP-1456,33,Female,High School,Engineering,Engineering Manager,,104062.32,2,On-site
EMP-1457,55,Male,PhD,Executive,Vice President,6.3,158778.63,2,Remote
EMP-1458,52,Female,Bachelor's,Finance,Senior Finance Analyst,3.6,72105.56,3,Hybrid
EMP-1459,48,Male,Bachelor's,Engineering,Engineering Manager,1.8,108516.06,2,Hybrid
EMP-1460,44,Male,Master's,Finance,Senior Finance Analyst,0.2,83783.85,2,Remote
EMP-1461,31,Female,Bachelor's,Finance,Financial Analyst,4.2,80435.76,3,Hybrid
EMP-1462,51,Female,Master's,Finance,Financial Analyst,4.1,93412.02,4,On-site
EMP-1463,30,Male,Bachelor's,Engineering,Tech Lead,0.0,88933.71,3,Hybrid
EMP-1464,58,Female,Master's,Executive,Director,14.3,187868.07,3,On-site
EMP-1465,39,Non-binary,Bachelor's,HR,HR Associate,0.7,47110.32,2,Remote
EMP-1466,50,Female,Bachelor's,Sales,Sales Manager,2.4,83798.53,2,Remote
EMP-1467,43,Male,Master's,Executive,Director,8.3,172173.72,4,On-site
EMP-1468,47,Male,Bachelor's,Sales,Sales Manager,20.8,158829.14,2,Remote
EMP-1469,53,Male,Bachelor's,Data Science,Data Analyst,4.8,86655.0,2,Remote
EMP-1470,51,Male,Bachelor's,Data Science,Data Science Manager,8.9,136115.33,3,Remote
EMP-1471,59,Male,Bachelor's,Finance,Financial Analyst,8.0,97167.04,2,On-site
EMP-1472,38,Male,Master's,HR,HR Specialist,7.2,104410.81,3,Hybrid
EMP-1473,43,Male,PhD,Executive,Vice President,13.7,208975.04,3,Hybrid
EMP-1474,34,Female,High School,Engineering,Senior Engineer,1.9,58711.14,2,Remote
EMP-1475,21,Female,Bachelor's,Data Science,Data Science Manager,0.0,92380.75,4,Hybrid
EMP-1476,35,Female,Bachelor's,Finance,Finance Manager,3.4,99124.44,2,On-site
EMP-1477,46,Male,High School,Sales,Sales Associate,2.6,57421.54,3,On-site
EMP-1478,36,Female,Bachelor's,Sales,Sales Associate,2.4,66587.85,3,Hybrid
EMP-1479,54,Female,Bachelor's,Executive,Vice President,5.5,145509.27,3,Remote
EMP-1480,44,Male,Bachelor's,Engineering,Senior Engineer,14.2,131726.13,4,Hybrid
EMP-1481,25,Female,Bachelor's,Engineering,Tech Lead,1.1,93711.86,3,Hybrid
EMP-1482,32,Female,Master's,Data Science,Data Analyst,7.9,123609.7,3,Hybrid
EMP-1483,38,Male,Bachelor's,Sales,Sales Representative,14.6,129533.29,3,Hybrid
EMP-1484,40,Male,Bachelor's,HR,HR Manager,3.9,103773.06,5,On-site
EMP-1485,21,Female,High School,Sales,Sales Manager,1.1,81906.95,3,Hybrid
EMP-1486,50,Male,Bachelor's,Data Science,Senior Data Scientist,14.9,132749.26,3,Hybrid
EMP-1487,25,Female,Master's,Data Science,Data Science Manager,0.4,104576.88,3,On-site
EMP-1488,32,Female,Bachelor's,Finance,Senior Finance Analyst,8.1,105039.43,3,Hybrid
EMP-1489,41,Female,High School,Finance,Finance Manager,3.3,91527.62,2,On-site
EMP-1490,49,Female,Master's,Finance,Senior Finance Analyst,4.4,87675.9,2,Remote
EMP-1491,38,Male,Bachelor's,Engineering,Engineering Manager,0.0,93889.68,2,On-site
EMP-1492,36,Male,Bachelor's,Data Science,Senior Data Scientist,0.8,69035.05,3,Remote
EMP-1493,33,Female,Bachelor's,Engineering,Tech Lead,10.6,135283.0,3,Hybrid
EMP-1494,55,Female,Bachelor's,Executive,Vice President,10.6,160868.11,2,On-site
EMP-1495,47,Female,Bachelor's,Sales,Sales Manager,7.9,102615.15,2,Hybrid
EMP-1496,22,Female,Master's,Finance,Senior Finance Analyst,0.0,72688.85,4,Remote
EMP-1497,63,Female,Bachelor's,HR,HR Associate,7.3,81767.31,2,Remote
EMP-1498,53,Female,Bachelor's,Finance,Financial Analyst,5.6,99889.02,4,Remote
EMP-1499,50,Female,Bachelor's,Engineering,Engineering Manager,3.9,115935.16,4,Hybrid
EMP-1500,45,Male,PhD,Engineering,Tech Lead,8.0,145690.81,2,Remote
EMP-1501,37,Male,High School,HR,HR Associate,13.7,99820.63,3,Remote
EMP-1502,44,Male,Bachelor's,Sales,Sales Representative,19.4,140010.44,3,Hybrid
EMP-1503,52,Male,Master's,Finance,Finance Manager,21.2,182878.04,2,Remote
EMP-1504,30,Male,Master's,Engineering,Tech Lead,0.1,98923.92,1,Remote
EMP-1505,36,Male,Bachelor's,Sales,Sales Associate,10.2,107624.87,4,Hybrid
EMP-1506,27,Female,High School,Finance,Finance Manager,8.0,121926.2,4,Hybrid
EMP-1507,43,Male,Master's,Sales,Sales Associate,1.0,68443.36,3,Remote
EMP-1508,34,Non-binary,Bachelor's,Finance,Finance Manager,11.1,146927.52,4,Hybrid
EMP-1509,53,Female,Bachelor's,Executive,Vice President,17.7,182622.3,2,On-site
EMP-1510,39,Male,Bachelor's,Sales,Sales Associate,5.0,74939.01,1,Hybrid
EMP-1511,36,Female,Bachelor's,Engineering,Senior Engineer,2.4,65511.78,2,Remote
EMP-1512,43,Male,Master's,Sales,Sales Representative,9.3,99040.5,2,Hybrid
EMP-1513,21,Male,Bachelor's,Data Science,Senior Data Scientist,0.0,81633.51,3,On-site
EMP-1514,54,Male,Bachelor's,Sales,Sales Representative,7.2,81626.73,2,Remote
EMP-1515,42,Male,Master's,Engineering,Tech Lead,14.5,164710.75,2,Hybrid
EMP-1516,45,Female,Bachelor's,Executive,Vice President,18.8,199359.08,4,Hybrid
EMP-1517,35,Female,Master's,Sales,Sales Manager,9.7,127778.72,2,Hybrid
EMP-1518,35,Male,PhD,Engineering,Senior Engineer,1.0,104681.51,3,Hybrid
EMP-1519,29,Male,PhD,Data Science,Data Scientist,0.3,100633.26,4,Hybrid
EMP-1520,37,Non-binary,Bachelor's,Data Science,Senior Data Scientist,4.8,73614.56,2,Hybrid
EMP-1521,46,Female,High School,Finance,Senior Finance Analyst,24.0,152112.03,3,Hybrid
EMP-1522,38,Female,High School,Finance,Finance Manager,10.5,112724.72,3,Hybrid
EMP-1523,32,Male,Bachelor's,Finance,Finance Manager,7.6,110394.26,3,On-site
EMP-1524,40,Female,Bachelor's,Engineering,Tech Lead,15.6,158318.58,2,On-site
EMP-1525,37,Female,Bachelor's,Sales,Sales Manager,9.1,122208.44,1,Remote
EMP-1526,30,Male,Bachelor's,Finance,Finance Manager,5.5,107303.42,2,Remote
EMP-1527,49,Female,Bachelor's,Sales,Sales Representative,24.2,157010.08,2,Remote
EMP-1528,42,Female,Bachelor's,Sales,Sales Manager,13.7,141598.65,3,On-site
EMP-1529,34,Male,Bachelor's,Sales,Sales Representative,3.2,68956.86,2,Hybrid
EMP-1530,27,Female,Bachelor's,Data Science,Data Science Manager,3.7,108159.36,1,Hybrid
EMP-1531,47,Female,Master's,Data Science,Data Analyst,7.2,101181.62,1,Hybrid
EMP-1532,44,Male,Master's,Engineering,Senior Engineer,3.9,99504.76,4,On-site
EMP-1533,30,Female,Bachelor's,Sales,Sales Associate,7.3,96909.26,3,Hybrid
EMP-1534,31,Male,Master's,Finance,Senior Finance Analyst,4.4,85583.54,2,Remote
EMP-1535,28,Male,Bachelor's,Finance,Senior Finance Analyst,1.1,75368.07,3,On-site
EMP-1536,41,Female,Bachelor's,HR,HR Manager,15.8,139609.13,2,Remote
EMP-1537,22,Male,High School,Finance,Financial Analyst,3.4,66812.98,3,Hybrid
EMP-1538,36,Female,Bachelor's,Sales,Sales Manager,0.3,92052.52,5,Hybrid
EMP-1539,30,Female,High School,Data Science,Data Scientist,7.2,97130.67,2,Remote
EMP-1540,39,Male,Master's,HR,HR Manager,14.5,153415.37,2,Hybrid
EMP-1541,31,Male,Bachelor's,HR,HR Specialist,2.3,72140.29,4,Hybrid
EMP-1542,33,Female,Master's,Sales,Sales Manager,0.9,102187.13,4,Hybrid
EMP-1543,46,Female,Master's,Finance,Finance Manager,6.2,118961.86,3,Hybrid
EMP-1544,31,Female,Bachelor's,HR,HR Manager,2.9,91171.35,4,Remote
EMP-1545,33,Female,PhD,HR,HR Associate,0.9,83321.59,2,Hybrid
EMP-1546,58,Female,Master's,Finance,Senior Finance Analyst,22.5,164645.32,2,Hybrid
EMP-1547,52,Female,Master's,HR,HR Specialist,11.3,115174.23,3,Hybrid
EMP-1548,27,Female,PhD,Data Science,Senior Data Scientist,0.0,96877.13,3,Hybrid
EMP-1549,47,Male,Bachelor's,HR,HR Manager,7.5,128037.38,4,Remote
EMP-1550,43,Female,Bachelor's,Sales,Sales Associate,15.6,124686.31,3,Hybrid
EMP-1551,34,Female,PhD,HR,HR Manager,0.6,105747.59,3,Hybrid
EMP-1552,39,Female,Bachelor's,HR,HR Specialist,4.4,68440.74,4,Remote
EMP-1553,49,Female,Bachelor's,Finance,Finance Manager,25.5,195391.59,4,Remote
EMP-1554,21,Female,Bachelor's,Sales,Sales Manager,0.0,87781.97,2,Remote
EMP-1555,37,Male,Master's,Data Science,Data Scientist,4.5,95871.35,2,On-site
EMP-1556,46,Female,PhD,Executive,Director,14.8,205726.41,3,Hybrid
EMP-1557,34,Female,Bachelor's,Engineering,Software Engineer,5.4,82145.54,2,Remote
EMP-1558,54,Female,Bachelor's,Engineering,Senior Engineer,19.7,155042.95,2,Hybrid
EMP-1559,53,Male,PhD,Engineering,Senior Engineer,19.0,172210.28,3,On-site
EMP-1560,42,Female,Master's,Engineering,Software Engineer,11.3,122037.79,3,Remote
EMP-1561,41,Female,Bachelor's,Executive,Vice President,9.6,162446.08,2,Remote
EMP-1562,33,Male,High School,HR,HR Specialist,10.9,92479.73,3,Hybrid
EMP-1563,35,Male,Master's,Data Science,Senior Data Scientist,11.0,126350.58,3,Hybrid
EMP-1564,46,Female,Bachelor's,Sales,Sales Associate,5.5,78858.28,2,Hybrid
EMP-1565,57,Male,Master's,Data Science,Data Analyst,12.1,126753.53,2,Hybrid
EMP-1566,43,Male,Master's,Finance,Finance Manager,0.9,103883.78,3,On-site
EMP-1567,42,Female,Master's,Executive,Director,7.5,168158.2,3,Hybrid
EMP-1568,42,Female,Bachelor's,Engineering,Tech Lead,8.4,132315.44,3,Remote
EMP-1569,56,Female,Bachelor's,Sales,Sales Associate,17.4,125232.82,3,Hybrid
EMP-1570,49,Male,Master's,Finance,Financial Analyst,19.4,141443.98,3,On-site
EMP-1571,46,Non-binary,Bachelor's,Data Science,Data Analyst,13.2,122896.8,2,On-site
EMP-1572,41,Female,Bachelor's,Engineering,Software Engineer,17.2,144496.71,3,On-site
EMP-1573,33,Female,Bachelor's,Engineering,Software Engineer,8.0,100042.72,3,Remote
EMP-1574,45,Male,Bachelor's,HR,HR Specialist,,92327.37,3,Remote
EMP-1575,48,Male,High School,HR,HR Specialist,22.2,140088.35,2,Remote
EMP-1576,41,Female,High School,Data Science,Senior Data Scientist,8.2,99099.2,4,Hybrid
EMP-1577,34,Female,Master's,Engineering,Tech Lead,8.1,137200.92,3,Remote
EMP-1578,45,Male,PhD,Sales,Sales Manager,15.3,161937.91,1,Hybrid
EMP-1579,27,Female,Master's,Engineering,Senior Engineer,2.1,99083.68,3,Remote
EMP-1580,36,Female,Bachelor's,Sales,Sales Manager,6.8,111980.31,3,Hybrid
EMP-1581,49,Male,Bachelor's,Finance,Financial Analyst,23.3,157290.21,2,On-site
EMP-1582,47,Female,Master's,Sales,Sales Associate,20.4,156817.49,3,Hybrid
EMP-1583,48,Male,Master's,Executive,Director,23.5,226767.25,1,Hybrid
EMP-1584,31,Male,Bachelor's,Finance,Financial Analyst,3.9,74447.22,1,Hybrid
EMP-1585,51,Female,Master's,Data Science,Data Analyst,0.3,89977.25,3,On-site
EMP-1586,54,Female,Bachelor's,Data Science,Data Analyst,24.0,184639.79,4,Remote
EMP-1587,45,Male,Bachelor's,Finance,Finance Manager,8.7,112928.21,3,On-site
EMP-1588,35,Male,Bachelor's,Finance,Senior Finance Analyst,1.1,75645.66,2,Hybrid
EMP-1589,36,Male,PhD,Engineering,Software Engineer,3.6,113428.91,3,Remote
EMP-1590,38,Female,Master's,Finance,Finance Manager,8.9,134644.1,4,On-site
EMP-1591,39,Female,Master's,Sales,Sales Representative,5.5,82179.86,2,Remote
EMP-1592,31,Male,Bachelor's,Finance,Finance Manager,5.4,106104.19,3,Hybrid
EMP-1593,31,Male,Bachelor's,Engineering,Senior Engineer,0.0,64501.37,2,Hybrid
EMP-1594,22,Female,Master's,Finance,Finance Manager,0.0,98494.64,3,Hybrid
EMP-1595,23,Male,Master's,Sales,Sales Associate,0.0,62487.06,2,On-site
EMP-1596,41,Female,Bachelor's,Data Science,Data Scientist,2.3,72408.97,4,On-site
EMP-1597,39,Male,Master's,Data Science,Senior Data Scientist,1.6,93748.04,3,Hybrid
EMP-1598,40,Female,Master's,Finance,Financial Analyst,12.4,120165.68,2,Hybrid
EMP-1599,30,Female,PhD,Data Science,Data Science Manager,0.0,126127.87,4,Hybrid
EMP-1600,57,Female,Bachelor's,Finance,Financial Analyst,24.2,158389.56,3,Remote
EMP-1601,22,Female,Bachelor's,Finance,Finance Manager,0.0,70495.18,1,On-site
EMP-1602,40,Female,Bachelor's,Finance,Finance Manager,13.7,134052.86,3,Remote
EMP-1603,46,Non-binary,PhD,Data Science,Data Scientist,7.8,128640.76,2,Hybrid
EMP-1604,54,Female,Bachelor's,HR,HR Manager,23.6,175508.82,3,Hybrid
EMP-1605,29,Male,Bachelor's,HR,HR Manager,2.4,77765.08,1,Hybrid
EMP-1606,35,Non-binary,Master's,Data Science,Senior Data Scientist,7.8,111972.46,2,Hybrid
EMP-1607,38,Female,Bachelor's,Sales,Sales Manager,12.0,129499.98,3,On-site
EMP-1608,39,Male,Master's,Engineering,Software Engineer,0.4,75137.61,3,Remote
EMP-1609,52,Female,Bachelor's,Data Science,Senior Data Scientist,20.5,157213.1,3,Remote
EMP-1610,45,Male,Master's,Finance,Financial Analyst,7.5,110218.82,3,Hybrid
EMP-1611,40,Female,Master's,Finance,Financial Analyst,11.9,122149.02,2,Hybrid
EMP-1612,26,Male,Master's,HR,HR Manager,1.3,95260.62,3,On-site
EMP-1613,35,Male,PhD,HR,HR Manager,0.4,95388.91,3,Hybrid
EMP-1614,32,Male,Master's,Sales,Sales Associate,7.3,101619.14,3,Hybrid
EMP-1615,27,Female,Master's,Finance,Finance Manager,1.8,103362.95,4,Hybrid
EMP-1616,47,Non-binary,Bachelor's,Engineering,Senior Engineer,24.1,165342.64,3,Hybrid
